review_text,sentiment_label,sentiment_score,processed_text
Very disappointed. This is nothing like the photos.,0,-1.0,disappointed nothing like photo
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0,cheap material shoddy craftsmanship unhappy
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0,cheap material shoddy craftsmanship unhappy
The worst product I have ever purchased. Returning immediately.,0,-1.0,worst product ever purchased returning immediately
"Not bad, not great. Somewhere in the middle.",1,0.0,bad great somewhere middle
Standard item. Arrived promptly and in good condition.,1,0.0,standard item arrived promptly good condition
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
Average product. Nothing special but no complaints either.,1,0.0,average product nothing special complaint either
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
Top-notch quality. My whole family is impressed.,2,1.0,topnotch quality whole family impressed
Very disappointed. This is nothing like the photos.,0,-1.0,disappointed nothing like photo
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Standard item. Arrived promptly and in good condition.,1,0.0,standard item arrived promptly good condition
The worst product I have ever purchased. Returning immediately.,0,-1.0,worst product ever purchased returning immediately
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
Arrived damaged and the seller refused to refund me.,0,-1.0,arrived damaged seller refused refund
Received on time. Product is as described.,1,0.0,received time product described
It's okay. Does what it says on the box.,1,0.0,okay say box
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Average product. Nothing special but no complaints either.,1,0.0,average product nothing special complaint either
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
Complete waste of money. Do not buy this.,0,-1.0,complete waste money buy
Received on time. Product is as described.,1,0.0,received time product described
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
The worst product I have ever purchased. Returning immediately.,0,-1.0,worst product ever purchased returning immediately
"Not bad, not great. Somewhere in the middle.",1,0.0,bad great somewhere middle
The worst product I have ever purchased. Returning immediately.,0,-1.0,worst product ever purchased returning immediately
Amazing customer service and the item is even better in person.,2,1.0,amazing customer service item even better person
Reasonable quality. Matches the product description.,1,0.0,reasonable quality match product description
This product changed my life. Worth every penny.,2,1.0,product changed life worth every penny
This product changed my life. Worth every penny.,2,1.0,product changed life worth every penny
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
Average product. Nothing special but no complaints either.,1,0.0,average product nothing special complaint either
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
Best purchase I've made this year. Highly recommend to everyone.,2,1.0,best purchase ive made year highly recommend everyone
Best purchase I've made this year. Highly recommend to everyone.,2,1.0,best purchase ive made year highly recommend everyone
Works perfectly. Very happy with this purchase.,2,1.0,work perfectly happy purchase
"Brilliant product, great value for money. Five stars!",2,1.0,brilliant product great value money five star
This product changed my life. Worth every penny.,2,1.0,product changed life worth every penny
Does not work as advertised. Total scam.,0,-1.0,work advertised total scam
This product changed my life. Worth every penny.,2,1.0,product changed life worth every penny
"Brilliant product, great value for money. Five stars!",2,1.0,brilliant product great value money five star
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
Received on time. Product is as described.,1,0.0,received time product described
Very disappointed. This is nothing like the photos.,0,-1.0,disappointed nothing like photo
It does the job. I have no strong feelings either way.,1,0.0,job strong feeling either way
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0,cheap material shoddy craftsmanship unhappy
Works perfectly. Very happy with this purchase.,2,1.0,work perfectly happy purchase
Terrible product. Broke after just two days of use.,0,-1.0,terrible product broke two day use
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
Amazing customer service and the item is even better in person.,2,1.0,amazing customer service item even better person
Top-notch quality. My whole family is impressed.,2,1.0,topnotch quality whole family impressed
Received on time. Product is as described.,1,0.0,received time product described
Works perfectly. Very happy with this purchase.,2,1.0,work perfectly happy purchase
The worst product I have ever purchased. Returning immediately.,0,-1.0,worst product ever purchased returning immediately
Works perfectly. Very happy with this purchase.,2,1.0,work perfectly happy purchase
Superb experience from start to finish. Thank you!,2,1.0,superb experience start finish thank
"It works fine for my needs, nothing extraordinary.",1,0.0,work fine need nothing extraordinary
It does the job. I have no strong feelings either way.,1,0.0,job strong feeling either way
Superb experience from start to finish. Thank you!,2,1.0,superb experience start finish thank
Works perfectly. Very happy with this purchase.,2,1.0,work perfectly happy purchase
Terrible product. Broke after just two days of use.,0,-1.0,terrible product broke two day use
Best purchase I've made this year. Highly recommend to everyone.,2,1.0,best purchase ive made year highly recommend everyone
Reasonable quality. Matches the product description.,1,0.0,reasonable quality match product description
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
It's okay. Does what it says on the box.,1,0.0,okay say box
Terrible product. Broke after just two days of use.,0,-1.0,terrible product broke two day use
Standard item. Arrived promptly and in good condition.,1,0.0,standard item arrived promptly good condition
Reasonable quality. Matches the product description.,1,0.0,reasonable quality match product description
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0,cheap material shoddy craftsmanship unhappy
Amazing customer service and the item is even better in person.,2,1.0,amazing customer service item even better person
Works perfectly. Very happy with this purchase.,2,1.0,work perfectly happy purchase
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Stopped working after a week. Absolutely useless.,0,-1.0,stopped working week absolutely useless
Standard item. Arrived promptly and in good condition.,1,0.0,standard item arrived promptly good condition
Average product. Nothing special but no complaints either.,1,0.0,average product nothing special complaint either
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
It's okay. Does what it says on the box.,1,0.0,okay say box
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Standard item. Arrived promptly and in good condition.,1,0.0,standard item arrived promptly good condition
The product is functional. Packaging was a bit simple.,1,0.0,product functional packaging bit simple
Superb experience from start to finish. Thank you!,2,1.0,superb experience start finish thank
Amazing customer service and the item is even better in person.,2,1.0,amazing customer service item even better person
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
It does the job. I have no strong feelings either way.,1,0.0,job strong feeling either way
Works perfectly. Very happy with this purchase.,2,1.0,work perfectly happy purchase
Terrible product. Broke after just two days of use.,0,-1.0,terrible product broke two day use
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
It does the job. I have no strong feelings either way.,1,0.0,job strong feeling either way
Very disappointed. This is nothing like the photos.,0,-1.0,disappointed nothing like photo
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
Very disappointed. This is nothing like the photos.,0,-1.0,disappointed nothing like photo
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Top-notch quality. My whole family is impressed.,2,1.0,topnotch quality whole family impressed
It's okay. Does what it says on the box.,1,0.0,okay say box
Arrived damaged and the seller refused to refund me.,0,-1.0,arrived damaged seller refused refund
The worst product I have ever purchased. Returning immediately.,0,-1.0,worst product ever purchased returning immediately
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
Superb experience from start to finish. Thank you!,2,1.0,superb experience start finish thank
The product is functional. Packaging was a bit simple.,1,0.0,product functional packaging bit simple
This product changed my life. Worth every penny.,2,1.0,product changed life worth every penny
Reasonable quality. Matches the product description.,1,0.0,reasonable quality match product description
Complete waste of money. Do not buy this.,0,-1.0,complete waste money buy
This product changed my life. Worth every penny.,2,1.0,product changed life worth every penny
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0,cheap material shoddy craftsmanship unhappy
Arrived damaged and the seller refused to refund me.,0,-1.0,arrived damaged seller refused refund
Received on time. Product is as described.,1,0.0,received time product described
"Not bad, not great. Somewhere in the middle.",1,0.0,bad great somewhere middle
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0,cheap material shoddy craftsmanship unhappy
It's okay. Does what it says on the box.,1,0.0,okay say box
Stopped working after a week. Absolutely useless.,0,-1.0,stopped working week absolutely useless
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
The product is functional. Packaging was a bit simple.,1,0.0,product functional packaging bit simple
Average product. Nothing special but no complaints either.,1,0.0,average product nothing special complaint either
Stopped working after a week. Absolutely useless.,0,-1.0,stopped working week absolutely useless
Superb experience from start to finish. Thank you!,2,1.0,superb experience start finish thank
"It works fine for my needs, nothing extraordinary.",1,0.0,work fine need nothing extraordinary
Reasonable quality. Matches the product description.,1,0.0,reasonable quality match product description
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
It does the job. I have no strong feelings either way.,1,0.0,job strong feeling either way
"Not bad, not great. Somewhere in the middle.",1,0.0,bad great somewhere middle
Received on time. Product is as described.,1,0.0,received time product described
The product is functional. Packaging was a bit simple.,1,0.0,product functional packaging bit simple
The worst product I have ever purchased. Returning immediately.,0,-1.0,worst product ever purchased returning immediately
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
Received on time. Product is as described.,1,0.0,received time product described
It's okay. Does what it says on the box.,1,0.0,okay say box
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Reasonable quality. Matches the product description.,1,0.0,reasonable quality match product description
Reasonable quality. Matches the product description.,1,0.0,reasonable quality match product description
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
It does the job. I have no strong feelings either way.,1,0.0,job strong feeling either way
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
Does not work as advertised. Total scam.,0,-1.0,work advertised total scam
Standard item. Arrived promptly and in good condition.,1,0.0,standard item arrived promptly good condition
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
Superb experience from start to finish. Thank you!,2,1.0,superb experience start finish thank
Terrible product. Broke after just two days of use.,0,-1.0,terrible product broke two day use
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
Arrived damaged and the seller refused to refund me.,0,-1.0,arrived damaged seller refused refund
Received on time. Product is as described.,1,0.0,received time product described
Arrived damaged and the seller refused to refund me.,0,-1.0,arrived damaged seller refused refund
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
The worst product I have ever purchased. Returning immediately.,0,-1.0,worst product ever purchased returning immediately
Top-notch quality. My whole family is impressed.,2,1.0,topnotch quality whole family impressed
Standard item. Arrived promptly and in good condition.,1,0.0,standard item arrived promptly good condition
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Stopped working after a week. Absolutely useless.,0,-1.0,stopped working week absolutely useless
Received on time. Product is as described.,1,0.0,received time product described
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
Amazing customer service and the item is even better in person.,2,1.0,amazing customer service item even better person
Superb experience from start to finish. Thank you!,2,1.0,superb experience start finish thank
Received on time. Product is as described.,1,0.0,received time product described
Stopped working after a week. Absolutely useless.,0,-1.0,stopped working week absolutely useless
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
Standard item. Arrived promptly and in good condition.,1,0.0,standard item arrived promptly good condition
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Works perfectly. Very happy with this purchase.,2,1.0,work perfectly happy purchase
Complete waste of money. Do not buy this.,0,-1.0,complete waste money buy
Complete waste of money. Do not buy this.,0,-1.0,complete waste money buy
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
It's okay. Does what it says on the box.,1,0.0,okay say box
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
"Not bad, not great. Somewhere in the middle.",1,0.0,bad great somewhere middle
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0,cheap material shoddy craftsmanship unhappy
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0,cheap material shoddy craftsmanship unhappy
It's okay. Does what it says on the box.,1,0.0,okay say box
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
"Not bad, not great. Somewhere in the middle.",1,0.0,bad great somewhere middle
This product changed my life. Worth every penny.,2,1.0,product changed life worth every penny
Superb experience from start to finish. Thank you!,2,1.0,superb experience start finish thank
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
Standard item. Arrived promptly and in good condition.,1,0.0,standard item arrived promptly good condition
Does not work as advertised. Total scam.,0,-1.0,work advertised total scam
Does not work as advertised. Total scam.,0,-1.0,work advertised total scam
The worst product I have ever purchased. Returning immediately.,0,-1.0,worst product ever purchased returning immediately
Amazing customer service and the item is even better in person.,2,1.0,amazing customer service item even better person
Stopped working after a week. Absolutely useless.,0,-1.0,stopped working week absolutely useless
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
Top-notch quality. My whole family is impressed.,2,1.0,topnotch quality whole family impressed
It does the job. I have no strong feelings either way.,1,0.0,job strong feeling either way
Amazing customer service and the item is even better in person.,2,1.0,amazing customer service item even better person
Stopped working after a week. Absolutely useless.,0,-1.0,stopped working week absolutely useless
Received on time. Product is as described.,1,0.0,received time product described
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
It does the job. I have no strong feelings either way.,1,0.0,job strong feeling either way
Amazing customer service and the item is even better in person.,2,1.0,amazing customer service item even better person
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
Reasonable quality. Matches the product description.,1,0.0,reasonable quality match product description
Terrible product. Broke after just two days of use.,0,-1.0,terrible product broke two day use
"Brilliant product, great value for money. Five stars!",2,1.0,brilliant product great value money five star
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Does not work as advertised. Total scam.,0,-1.0,work advertised total scam
Superb experience from start to finish. Thank you!,2,1.0,superb experience start finish thank
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0,cheap material shoddy craftsmanship unhappy
"It works fine for my needs, nothing extraordinary.",1,0.0,work fine need nothing extraordinary
Top-notch quality. My whole family is impressed.,2,1.0,topnotch quality whole family impressed
"Not bad, not great. Somewhere in the middle.",1,0.0,bad great somewhere middle
Very disappointed. This is nothing like the photos.,0,-1.0,disappointed nothing like photo
The worst product I have ever purchased. Returning immediately.,0,-1.0,worst product ever purchased returning immediately
"Not bad, not great. Somewhere in the middle.",1,0.0,bad great somewhere middle
Best purchase I've made this year. Highly recommend to everyone.,2,1.0,best purchase ive made year highly recommend everyone
Does not work as advertised. Total scam.,0,-1.0,work advertised total scam
Reasonable quality. Matches the product description.,1,0.0,reasonable quality match product description
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Terrible product. Broke after just two days of use.,0,-1.0,terrible product broke two day use
Stopped working after a week. Absolutely useless.,0,-1.0,stopped working week absolutely useless
Amazing customer service and the item is even better in person.,2,1.0,amazing customer service item even better person
Stopped working after a week. Absolutely useless.,0,-1.0,stopped working week absolutely useless
Arrived damaged and the seller refused to refund me.,0,-1.0,arrived damaged seller refused refund
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
Reasonable quality. Matches the product description.,1,0.0,reasonable quality match product description
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
Very disappointed. This is nothing like the photos.,0,-1.0,disappointed nothing like photo
Does not work as advertised. Total scam.,0,-1.0,work advertised total scam
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
The product is functional. Packaging was a bit simple.,1,0.0,product functional packaging bit simple
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
Arrived damaged and the seller refused to refund me.,0,-1.0,arrived damaged seller refused refund
Received on time. Product is as described.,1,0.0,received time product described
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
Arrived damaged and the seller refused to refund me.,0,-1.0,arrived damaged seller refused refund
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
The product is functional. Packaging was a bit simple.,1,0.0,product functional packaging bit simple
This product changed my life. Worth every penny.,2,1.0,product changed life worth every penny
Standard item. Arrived promptly and in good condition.,1,0.0,standard item arrived promptly good condition
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
It's okay. Does what it says on the box.,1,0.0,okay say box
"Not bad, not great. Somewhere in the middle.",1,0.0,bad great somewhere middle
Works perfectly. Very happy with this purchase.,2,1.0,work perfectly happy purchase
Amazing customer service and the item is even better in person.,2,1.0,amazing customer service item even better person
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
Works perfectly. Very happy with this purchase.,2,1.0,work perfectly happy purchase
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
The quality is outstanding and delivery was super fast.,2,1.0,quality outstanding delivery super fast
The worst product I have ever purchased. Returning immediately.,0,-1.0,worst product ever purchased returning immediately
Best purchase I've made this year. Highly recommend to everyone.,2,1.0,best purchase ive made year highly recommend everyone
Absolutely fantastic product! Exceeded all my expectations.,2,1.0,absolutely fantastic product exceeded expectation
Received on time. Product is as described.,1,0.0,received time product described
Arrived damaged and the seller refused to refund me.,0,-1.0,arrived damaged seller refused refund
It's okay. Does what it says on the box.,1,0.0,okay say box
Terrible product. Broke after just two days of use.,0,-1.0,terrible product broke two day use
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
Works perfectly. Very happy with this purchase.,2,1.0,work perfectly happy purchase
Reasonable quality. Matches the product description.,1,0.0,reasonable quality match product description
Decent quality for the price. Could be better.,1,0.0,decent quality price could better
Terrible product. Broke after just two days of use.,0,-1.0,terrible product broke two day use
Received on time. Product is as described.,1,0.0,received time product described
Average product. Nothing special but no complaints either.,1,0.0,average product nothing special complaint either
Best purchase I've made this year. Highly recommend to everyone.,2,1.0,best purchase ive made year highly recommend everyone
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
Very disappointed. This is nothing like the photos.,0,-1.0,disappointed nothing like photo
Terrible product. Broke after just two days of use.,0,-1.0,terrible product broke two day use
I love this! Will definitely buy again from this seller.,2,1.0,love definitely buy seller
It's okay. Does what it says on the box.,1,0.0,okay say box
Very disappointed. This is nothing like the photos.,0,-1.0,disappointed nothing like photo
Received on time. Product is as described.,1,0.0,received time product described
Poor quality and awful customer support. Avoid!,0,-1.0,poor quality awful customer support avoid
"It works fine for my needs, nothing extraordinary.",1,0.0,work fine need nothing extraordinary
"It works fine for my needs, nothing extraordinary.",1,0.0,work fine need nothing extraordinary
The product is functional. Packaging was a bit simple.,1,0.0,product functional packaging bit simple
Superb experience from start to finish. Thank you!,2,1.0,superb experience start finish thank
Amazing customer service and the item is even better in person.,2,1.0,amazing customer service item even better person
Would give zero stars if I could. Disgusting quality.,0,-1.0,would give zero star could disgusting quality
"Not bad, not great. Somewhere in the middle.",1,0.0,bad great somewhere middle
Does not work as advertised. Total scam.,0,-1.0,work advertised total scam
Superb experience from start to finish. Thank you!,2,1.0,superb experience start finish thank
Average product. Nothing special but no complaints either.,1,0.0,average product nothing special complaint either
This product changed my life. Worth every penny.,2,1.0,product changed life worth every penny
Average product. Nothing special but no complaints either.,1,0.0,average product nothing special complaint either
Does not work as advertised. Total scam.,0,-1.0,work advertised total scam
The product is functional. Packaging was a bit simple.,1,0.0,product functional packaging bit simple
